StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,...18,...19,Pref. (Black asc.),Pref. (Black desc.),Pref. explanation,Birth year,Gender,Gender_5_TEXT,Hispanic,Race,Political aff.,Political aff._4_TEXT,Independent Q,Education,Income
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Comprehension 1,Comprehension 2,"Now imagine that you live in Metropolis. The city has $50,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $50,000. $50,000 is the annual budget for the next 3 years.



Please select your preferred option to distribute the $50,000. Your responses will remain anonymous.","Now imagine that you live in Metropolis. The city has $50,000 to provide people with free rides to court. How would you distribute the free rides across the city's Black and White populations? 50% of the city's inhabitants are Black, and 50% are White.



The figure below shows five options for spending your city's budget. Each one has a different number of rides for White and Black people, but all cost $50,000. $50,000 is the annual budget for the next 3 years.



Please select your preferred option to distribute the $50,000. Your responses will remain anonymous.",Please explain why you preferred your chosen allocation scenario.,What is your year of birth?,What is your gender? - Selected Choice,What is your gender? - A gender identity not listed here - Text,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or something else? - Other - Text","As an independent, do you lean Republican or Democrat?",What is the highest level of education you have completed?,Please indicate the answer that includes your entire household income in (previous year) before taxes.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID38""}","{""ImportId"":""QID52""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_5_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_4_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}"
2023-12-18 16:54:17,2023-12-18 16:56:01,100,103,True,2023-12-18 16:56:01,R_1GuqInuowPJnQZP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option A,NA,Because I wanted to,1990,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$10,000 to $19,999"
2023-12-19 06:04:29,2023-12-19 06:06:27,100,117,True,2023-12-19 06:06:27,R_5rvxZ6lvz4vGTri,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option A,NA,asdf,NA,Prefer not to say,NA,Yes,White or Caucasian,Republican,NA,NA,Some high school or less,"Less than $10,000"
2023-12-20 15:43:35,2023-12-20 15:46:05,100,150,True,2023-12-20 15:46:06,R_1zY0DSAwzRfQEWU,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,Its the fair equal distribution and still keeps quite a few people out of jail.,1979,Woman,NA,No,White or Caucasian,No preference,NA,NA,"Some college, but no degree","$20,000 to $29,999"
2023-12-20 15:52:24,2023-12-20 15:53:34,100,70,True,2023-12-20 15:53:35,R_5rrA9QFe1BpJ6XO,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,its whats fair for everyone involved theres no racism or prejudice,1995,Woman,NA,Yes,Native Hawaiian or Other Pacific Islander,Independent,NA,Republican,High school diploma or GED,"$150,000 or more"
2023-12-20 15:53:02,2023-12-20 15:54:45,100,102,True,2023-12-20 15:54:45,R_7vG118M2pxZ0i5j,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It has the 2nd largest impact but the optics around it being 'split' would help with community groups and media,1972,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-20 15:54:27,2023-12-20 15:57:52,100,205,True,2023-12-20 15:57:53,R_7lKUwv0tFFRLZkZ,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,the monetary burden can't be so lopsided.,1969,Man,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,Prefer not to say
2023-12-20 15:52:27,2023-12-20 15:58:01,100,333,True,2023-12-20 15:58:01,R_7HT3oiY4Gi5k3TP,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,Seems like the most failed way.,1964,Woman,NA,No,White or Caucasian,Republican,NA,NA,High school diploma or GED,"$20,000 to $29,999"
2023-12-20 15:57:25,2023-12-20 15:58:34,100,68,True,2023-12-20 15:58:34,R_6n0ZTcM0y1lRLEi,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,That way the price is equal no matter the race,1994,Man,NA,Yes,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$20,000 to $29,999"
2023-12-20 15:57:25,2023-12-20 15:58:38,100,73,True,2023-12-20 15:58:39,R_6n0mvJ0uqHKDi7D,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,I think it would be the most even.,1996,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$40,000 to $49,999"
2023-12-20 15:56:16,2023-12-20 15:58:45,100,148,True,2023-12-20 15:58:46,R_1o1KfjTNvNrfDaS,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,I think it fair to charge them the same rate,1973,Woman,NA,No,White or Caucasian,Independent,NA,Republican,"Some college, but no degree","Less than $10,000"
2023-12-20 15:56:10,2023-12-20 15:59:31,100,200,True,2023-12-20 15:59:32,R_5GwXm9trDlKDrAO,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,It is more expensive for Blacks who live far to be able to get to the court house so they need more money to be able to get to court and avoid jail.,1972,Woman,NA,Yes,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$100,000 to $149,999"
2023-12-20 15:57:44,2023-12-20 15:59:47,100,122,True,2023-12-20 15:59:48,R_1ozk8cqnPzyZkSi,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,It had the greatest number of people who avoid jail,1958,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$10,000 to $19,999"
2023-12-20 15:58:01,2023-12-20 16:00:17,100,135,True,2023-12-20 16:00:17,R_1XhFEdIQFpHWJs5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option E,"Black people are only 13% of the US population yet commit over 60% of all violent crime,",1987,Man,NA,Yes,White or Caucasian,Independent,NA,Republican,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-20 16:02:15,2023-12-20 16:04:30,100,135,True,2023-12-20 16:04:31,R_7NmnbJZqH4YUgLw,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,equal free people,1952,Woman,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$10,000 to $19,999"
2023-12-20 16:02:22,2023-12-20 16:04:54,100,152,True,2023-12-20 16:04:54,R_5y8e3eqjg8yz1GN,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Highest amount of people not incarcerated,2002,Woman,NA,Yes,"Asian,Native Hawaiian or Other Pacific Islander",Independent,NA,Democrat,Bachelor’s degree,"$40,000 to $49,999"
2023-12-20 16:04:46,2023-12-20 16:06:49,100,122,True,2023-12-20 16:06:49,R_11VNbuYqIWnzuox,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,SEEMS UNFAIR FOR BLACKS TO PAY MORE,1982,Woman,NA,No,White or Caucasian,Republican,NA,NA,Associates or technical degree,"$40,000 to $49,999"
2023-12-20 15:58:51,2023-12-20 16:07:23,100,512,True,2023-12-20 16:07:24,R_1dfCwB3RS59DKW5,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"even if the pop is 50 50, the black people of this town are at a huge disadvatige when it comes to having easier transpertation, they pay 3 times more and have the same exact expectations for court apperances as the white people do",1997,Non-binary,NA,No,White or Caucasian,Democrat,NA,NA,High school diploma or GED,"$10,000 to $19,999"
2023-12-20 16:06:43,2023-12-20 16:07:55,100,72,True,2023-12-20 16:07:55,R_5psY63NRizCg9Zn,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option A,because they spend more money on transportation,1981,Man,NA,No,Black or African American,Democrat,NA,NA,Bachelor’s degree,"$90,000 to $99,999"
2023-12-20 16:02:56,2023-12-20 16:08:19,100,322,True,2023-12-20 16:08:20,R_6X69vM2uCl1j3Qm,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"Seemed like the fairest possible option. I would have preferred an allocation based on income since that shows who needs it the most regardless of color. Given the choices 50/50, I guess it depends on the goal ""Avoid jail"" or ""be fair""",1986,Man,NA,No,Asian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$90,000 to $99,999"
2023-12-20 16:07:10,2023-12-20 16:09:28,100,138,True,2023-12-20 16:09:29,R_7MWKALF9qnhCOeo,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,"Blacks are more likely to be incarcerated, plus they live farther away. Fund their transportation more than the whites.",1998,Man,NA,No,"White or Caucasian,Black or African American,American Indian/Native American or Alaska Native",Independent,NA,Republican,High school diploma or GED,Prefer not to say
2023-12-20 16:05:09,2023-12-20 16:09:31,100,262,True,2023-12-20 16:09:31,R_5gtsqSjzjX5NXxl,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,Black people live further from the court and since it is more costly for them to make it to the courthouse they might need the resource more.,NA,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$50,000 to $59,999"
2023-12-20 16:09:05,2023-12-20 16:11:24,100,138,True,2023-12-20 16:11:24,R_5rmWBGHzH1dg689,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,I maximized the people avoiding jail,1995,Man,NA,No,White or Caucasian,Independent,NA,Democrat,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-20 16:10:01,2023-12-20 16:11:55,100,113,True,2023-12-20 16:11:55,R_54Jc7gQ5e9qXsvt,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,Should give more to black people since they are at more of a disadvantage.,1999,Man,NA,Yes,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-20 16:10:10,2023-12-20 16:12:14,100,123,True,2023-12-20 16:12:14,R_1Cw9hZaTV26Q6mb,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,Best overall result,1998,Woman,NA,No,Asian,Democrat,NA,NA,Bachelor’s degree,"$80,000 to $89,999"
2023-12-20 16:10:14,2023-12-20 16:12:16,100,121,True,2023-12-20 16:12:16,R_3rRRl5CBl8flalX,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option D,More people stay out of jail,2000,Woman,NA,No,White or Caucasian,Republican,NA,NA,Bachelor’s degree,"$30,000 to $39,999"
2023-12-20 16:09:40,2023-12-20 16:12:53,100,192,True,2023-12-20 16:12:53,R_10iOUluZUl8XIdz,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,it was equal and one of the highest rates of people not going to jail,1972,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,Associates or technical degree,"$40,000 to $49,999"
2023-12-20 16:09:04,2023-12-20 16:12:53,100,228,True,2023-12-20 16:12:53,R_6ZBsaMOWVIvxrc6,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,most even distribution wth a large amount of people avoiding jail,2002,Non-binary,NA,No,White or Caucasian,Democrat,NA,NA,"Some college, but no degree","$100,000 to $149,999"
2023-12-20 16:07:57,2023-12-20 16:13:12,100,315,True,2023-12-20 16:13:13,R_3DlBTSFTKQj4uHf,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option D,NA,This affords Black people who both live farther and have less Capital to spend on transportation then why people,1999,Non-binary,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$20,000 to $29,999"
2023-12-20 16:10:53,2023-12-20 16:13:16,100,143,True,2023-12-20 16:13:17,R_5pR8onYCFK9ASET,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,It was equally distributed,1982,Man,NA,No,White or Caucasian,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-20 16:10:51,2023-12-20 16:13:44,100,172,True,2023-12-20 16:13:44,R_1mC1WLi294NZLod,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,Because less people avoid going to jail.,1990,Woman,NA,Yes,Other,Democrat,NA,NA,Bachelor’s degree,Prefer not to say
2023-12-20 16:10:14,2023-12-20 16:14:53,100,279,True,2023-12-20 16:14:54,R_3tGszuv2Gr3Reb4,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,"just because it's typical that a lot of residents that live further away are black, there are still white people that live further also. splitting it 50/50 by RACE vs LOCATION is not the same.",1996,Woman,NA,No,White or Caucasian,Independent,NA,Democrat,"Some college, but no degree","$100,000 to $149,999"
2023-12-20 16:10:54,2023-12-20 16:15:29,100,275,True,2023-12-20 16:15:29,R_57QnZpDU6yNUwy8,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option B,I chose my chosen allocation because it cost black people more for rideshare but felt the white population needed some assitance too.,1971,Woman,NA,No,Black or African American,Democrat,NA,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","$150,000 or more"
2023-12-21 12:19:09,2023-12-21 12:19:44,100,35,True,2023-12-21 12:19:45,R_6BNXi2AFWicGh0d,NA,NA,NA,NA,anonymous,EN,5 people who live close to court,5 White people,NA,Option E,DISCARD THIS RESPONSE,2023,Man,NA,No,Prefer not to say,Other,tktk,NA,Prefer not to say,Prefer not to say
2023-12-21 12:37:23,2023-12-21 12:39:52,100,148,True,2023-12-21 12:39:52,R_5ha4stc4GaYauWo,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,NA,Option C,The price should be attainable for both races.,1980,Woman,NA,Yes,"White or Caucasian,Black or African American",Independent,NA,Democrat,Associates or technical degree,"$70,000 to $79,999"
2023-12-21 12:50:19,2023-12-21 12:51:38,100,78,True,2023-12-21 12:51:39,R_1P5IPC88NF2SVcG,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option B,NA,I chose option B because it led to the highest number of people avoiding jail time for missing court.,1998,Non-binary,NA,No,White or Caucasian,Independent,NA,Democrat,Bachelor’s degree,"$50,000 to $59,999"
2023-12-21 12:53:52,2023-12-21 12:56:23,100,151,True,2023-12-21 12:56:24,R_6k0Lt3mgCMukzG9,NA,NA,NA,NA,anonymous,EN,5 people who live far from court,5 Black people,Option C,NA,It had the second highest rate of jail prevention but didn't give less money to black folks.,1989,Man,NA,No,White or Caucasian,Democrat,NA,NA,Bachelor’s degree,"$20,000 to $29,999"
