race,lon,lat
Hispanic,-121.83910366421684,37.33139623964575
Hispanic,-121.87919557464164,37.40957868951148
Hispanic,-121.82831971493496,37.37828876905308
Black,-121.84644770765212,37.30504306024648
Hispanic,-121.94882618497907,37.285103324618156
Hispanic,-121.92355129974786,37.29544191236054
White,-121.89622735366096,37.45187904726426
Hispanic,-121.8293838059015,37.35201832237377
Black,-121.86743929087861,37.24135109869488
White,-121.85794439329081,37.26720164519319
Hispanic,-121.84417754064135,37.34911777937709
Hispanic,-121.92227100721192,37.33217548338642
Hispanic,-121.87627204593129,37.314112202120924
White,-121.8574775608414,37.347116007555165
White,-121.84568532834949,37.25202801128123
White,-121.87444854813066,37.35494839184886
White,-121.83087044394057,37.35918545248332
Hispanic,-121.89236557318601,37.33125983294265
Hispanic,-121.83618757768727,37.332800312230816
White,-121.82268574775676,37.322483439358386
Asian,-121.85484414258345,37.364820039652116
Asian,-121.80942904563504,37.3638949407121
Hispanic,-121.8640989331024,37.37819516474336
Hispanic,-121.85896348352315,37.34856640338666
Hispanic,-121.8182495538284,37.2878545965246
Hispanic,-121.91027348386241,37.385144009818575
Hispanic,-121.8957876677529,37.33848640578828
Hispanic,-121.97825259010989,37.36365421957159
Hispanic,-121.91756092621975,37.31015933955731
Asian,-121.81485781526168,37.35706047537273
Hispanic,-121.81829459792716,37.29699712891987
Hispanic,-121.85522805207407,37.253881851690046
Hispanic,-121.92069304710022,37.31411288514613
Hispanic,-121.8974735233988,37.349044862870365
Black,-121.8367455068361,37.32871625219357
Hispanic,-121.8301467390302,37.32590985777071
Hispanic,-121.78171610462915,37.22355611153393
Hispanic,-122.12620532614102,37.462162112607416
Black,-121.84594606779241,37.27815994399447
White,-121.87671883398625,37.317284412350894
Hispanic,-121.89306845227942,37.340032020844276
Asian,-121.86834713748787,37.42458405607004
Hispanic,-121.89239917487438,37.26110295308647
Hispanic,-121.81768841684153,37.230799343306415
Hispanic,-121.91474832052202,37.34458999899531
White,-121.94080789689532,37.2589189535847
Asian,-121.89089687616844,37.33053003671298
Hispanic,-121.83838333965657,37.327836487987895
White,-121.88564608088208,37.31615073946495
Asian,-121.81352141277554,37.35434987410902
Hispanic,-121.84420985044476,37.32903811056274
Black,-121.89143181150567,37.33224046102456
Hispanic,-121.80107657730409,37.29904591503226
Black,-121.87993142061691,37.29522297142489
Hispanic,-121.95094715597449,37.258382960565086
Hispanic,-121.80749526223339,37.26381934863086
White,-121.80218596494659,37.23182358258266
Black,-121.88894531112244,37.3420246096628
White,-121.90848594998965,37.32990476812962
White,-121.9060172294856,37.35943118856951
Black,-121.93535302790178,37.28163295554248
Asian,-121.82080760237021,37.31136313997038
Hispanic,-121.87361309517938,37.330883951892794
White,-121.87088992247254,37.403560921677474
White,-121.95346557267123,37.31411528617388
White,-121.93246024769924,37.34522007308888
White,-121.8541899941526,37.32350007544192
Black,-121.88771320987637,37.34502541816459
Asian,-121.84818373051347,37.29765049146907
White,-121.94582400036232,37.35999179105572
Asian,-121.87663345120988,37.32744923554141
Hispanic,-121.94599351189555,37.31226194966189
Hispanic,-121.87992284855972,37.340479197348515
Hispanic,-121.86095986046494,37.3492214191545
Black,-121.88083004527668,37.3398768217765
White,-121.84782717147873,37.245060902295144
Hispanic,-121.94592733717461,37.33264003839454
White,-121.82660413100932,37.278979255970526
White,-121.8232674325414,37.284021651289024
Hispanic,-121.8227454314102,37.318073667838654
Hispanic,-121.88142478662962,37.32351867151918
Hispanic,-121.85571285469848,37.353464278569554
Hispanic,-121.83832791068706,37.27815342336617
Hispanic,-122.03114993641411,37.392689305139456
Hispanic,-121.8879423234027,37.350171415121565
Hispanic,-121.83841418943207,37.392432480060386
